Name,OOS,,Total Verses,Verses to Sing,Familiarity,Service Index,Key,NVB,SSH,MAJ,NVR,Date of Most Recent Use,First Line,Notes,ID,Blood,Christmas,Cross,Easter,Grace,Heaven,Holy Spirit,Invitation,Missions,Patriotic,Prayer,Salvation,Second Coming,Bible,Calvary,Great Hymns,Service,Thanksgiving,Assurance,Christian Warfare,Comfort & Guidance,Consecration,Consolation,Faith & Trust,Joy & Singing,Love,Praise,Resurrection,Soul Winning & Service,Testimony,Lyrics,Log,Words,Music
No More Night,"All: 1, 2, 3","NVB | ""No More Night"" (189) [3]",3,"All: 1, 2, 3",,3/4,Bb,189,,,,,"The timeless theme earth and heaven will pass away,",,1189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walter Harrah,
I Bowed on My Knees,"All: 1, 2","NVB | ""I Bowed on My Knees"" (190) [2]",2,"All: 1, 2",,3/4,Bb,190,,,,,I dreamed of a city called Glory,,1190,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Nettie Dudley Washington,
We Shall Behold Him,"All: 1, 2","NVB | ""We Shall Behold Him"" (191) [2]",2,"All: 1, 2",,3/4,C,191,,,30,,The sky shall unfold,,1191,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,Dottie Rambo,
A Pile of Crowns,"All: 1, 2, 3","NVB | ""A Pile of Crowns"" (192) [3]",3,"All: 1, 2, 3",,3/4,Eb,192,,,,,"I dreamed I crossed to Heaven's side,",,1192,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Rodney Griffin,
We’ll Cast Our Crowns at His Feet,"All: 1, 2","NVB | ""We’ll Cast Our Crowns at His Feet"" (193) [2]",2,"All: 1, 2",,3/4,G,193,,,,,When earth's short day is far behind,,1193,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Gordon Jensen,
When We All Get to Heaven,"1, 2, 4","56 | ""When We All Get to Heaven"" (194) [4]",4,"1, 2, 4",,1A,Db,194,56,571,78,,Sing the wondrous love of Jesus,,1194,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
I’ll See You Again,"All: 1, 2, 3","NVB | ""I’ll See You Again"" (195) [3]",3,"All: 1, 2, 3",,3/4,F,195,,,,,"Little boy in the field, why do you weep?",,1195,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I’ll Meet You in the Morning,"All: 1, 2, 3","NVB | ""I’ll Meet You in the Morning"" (196) [3]",3,"All: 1, 2, 3",,2,Eb,196,,,84,,I will meet you in the morning,,1196,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
That Glad Reunion Day,"All: 1, 2, 3","NVB | ""That Glad Reunion Day"" (197) [3]",3,"All: 1, 2, 3",,2,G,197,,,,,There will be a happy meeting in heaven,,1197,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Where the Roses Never Fade,"All: 1, 2, 3","NVB | ""Where the Roses Never Fade"" (198) [3]",3,"All: 1, 2, 3",,3/4,Eb,198,,,79,,I am going to a city,,1198,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Eastern Gate,"1, 2, 4","NVB | ""The Eastern Gate"" (199) [4]",4,"1, 2, 4",,2,Ab,199,,,74,,I will meet you in the morning,,1199,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Old Account Was Settled,"1, 3, 5","245 | ""The Old Account Was Settled"" (200) [5]",5,"1, 3, 5",,3/4,Ab,200,245,,451,,"There was a time on earth, When in the book of Heav'n",,1200,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,
Redeeming Grace,"All: 1, 2","NVB | ""Redeeming Grace"" (201) [2]",2,"All: 1, 2",,3/4,C,201,,,,,"Redeeming grace has rescued me,",,1201,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazing Grace [New Britain],"1, 2, 4","244 | ""Amazing Grace [New Britain]"" (202) [4]",4,"1, 2, 4",,3/4,G,202,244,147,3,,Amazing grace! how sweet the sound,,1202,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
New Grace,"All: 1, 2","NVB | ""New Grace"" (203) [2]",2,"All: 1, 2",,3/4,Ab,203,,,,,All of grace is my story,,1203,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grace,"All: 1, 2","NVB | ""Grace"" (204) [2]",2,"All: 1, 2",,3/4,G,204,,,,,"I was in prison, locked up in chains,",,1204,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinner Saved by Grace,"All: 1, 2","NVB | ""Sinner Saved by Grace"" (205) [2]",2,"All: 1, 2",,2,F,205,,,19,,If you could see what I once was,,1205,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wonderful Grace of Jesus,"All: 1, 2, 3","210 | ""Wonderful Grace of Jesus"" (206) [3]",3,"All: 1, 2, 3",,1B,Db,206,210,155,355,,Wonderful grace of Jesus,,1206,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Saved by Grace,"1, 2, 4","62 | ""Saved by Grace"" (207) [4]",4,"1, 2, 4",,3/4,F,207,62,,545,,Someday the silver cord will break,,1207,,,,,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
All That Thrills My Soul,"1, 3, 5","105 | ""All That Thrills My Soul"" (208) [5]",5,"1, 3, 5",,3/4,Bb,208,105,476,539,,Who can cheer the heart like Jesus,,1208,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
His Grace Is Sufficient for Me,"All: 1, 2","NVB | ""His Grace Is Sufficient for Me"" (209) [2]",2,"All: 1, 2",,2,Ab,209,,,,,Many times I'm tried and tested as I travel day by day;,,1209,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When Jesus Passed By,"All: 1, 2","NVB | ""When Jesus Passed By"" (210) [2]",2,"All: 1, 2",,3/4,F,210,,,,,"A cripple starts walking, a blind man can see,",,1210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Constantly Abiding,"All: 1, 2, 3","336 | ""Constantly Abiding"" (211) [3]",3,"All: 1, 2, 3",,2,D,211,336,474,190,,There's a peace in my heart that the world never gave,,1211,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Since I Have Been Redeemed,"1, 2, 4","229 | ""Since I Have Been Redeemed"" (212) [4]",4,"1, 2, 4",,2,G,212,229,522,433,,I have a song I love to sing,,1212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Born Again,"All: 1, 2","NVB | ""Born Again"" (213) [2]",2,"All: 1, 2",,2,G,213,,338,4,,"You may think it foolish what I'm goin' to say,",,1213,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
He Came to Me,"All: 1, 2","NVB | ""He Came to Me"" (214) [2]",2,"All: 1, 2",,3/4,D,214,,,551,,I could not go to where He was,,1214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Greatest of All Miracles,"All: 1, 2","NVB | ""The Greatest of All Miracles"" (215) [2]",2,"All: 1, 2",,3/4,C,215,,,,,I wasn't there by the shores of the Galilee,,1215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
He Touched Me,"All: 1, 2","NVB | ""He Touched Me"" (216) [2]",2,"All: 1, 2",,3/4,F,216,,,12,,Shackled by a heavy burden,,1216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Hope Is in the Lord,"1, 2, 4","NVB | ""My Hope Is in the Lord"" (217) [4]",4,"1, 2, 4",,3/4,Ab,217,,336,,,My hope is in the Lord,,1217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
He Looked Beyond My Fault,Chorus 2x,"NVB | ""He Looked Beyond My Fault"" (218) [C]",C,Chorus 2x,,3/4,C,218,,,,,Amazing grace shall always be my song of praise,,1218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Other Plea,"1, 2, 4","150 | ""No Other Plea"" (219) [4]",4,"1, 2, 4",,3/4,Ab,219,150,416,294,,My faith has found a resting place,,1219,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,
He Is Able to Deliver Thee,"All: 1, 2, 3","260 | ""He Is Able to Deliver Thee"" (220) [3]",3,"All: 1, 2, 3",,2,Bb,220,260,153,264,,Tis the grandest theme thro' the ages rung,,1220,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Only a Sinner,"1, 2, 4","207 | ""Only a Sinner"" (221) [4]",4,"1, 2, 4",,2,C,221,207,511,304,,Naught have I gotten but what I received,,1221,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,
Give Him the Glory (Hoffman),"All: 1, 2, 3","NVB | ""Give Him the Glory (Hoffman)"" (222) [3]",3,"All: 1, 2, 3",,2,Eb,222,,,,,"It was down at the feet of Jesus,",,1222,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
He Included Me,"1, 2, 4","217 | ""He Included Me"" (223) [4]",4,"1, 2, 4",,2,Bb,223,217,342,238,,I am so happy in Christ today,,1223,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,
Heaven Came Down,"All: 1, 2, 3","215 | ""Heaven Came Down"" (224) [3]",3,"All: 1, 2, 3",,1B,F,224,215,339,249,,"O what a wonderful, wonderful day",,1224,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,
"Hallelujah, ’Tis Done!","1, 2, 4","218 | ""Hallelujah, ’Tis Done!"" (225) [4]",4,"1, 2, 4",,3/4,G,225,218,,259,,"Tis the promise of God, full salvation to give",,1225,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,
He Died for Me,"1, 3, 5","11 | ""He Died for Me"" (226) [5]",5,"1, 3, 5",,3/4,Eb,226,11,,63,,I saw One hanging on a tree,,1226,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tell Me the Old, Old, Story","1, 2, 4","233 | ""Tell Me the Old, Old, Story"" (227) [4]",4,"1, 2, 4",,3/4,C,227,233,348,445,,"Tell me the old, old story",,1227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Look to the Lamb of God,"1, 2, 4","256 | ""Look to the Lamb of God"" (228) [4]",4,"1, 2, 4",,2,F,228,256,,287,,If you from sin are longing to be free,,1228,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Nor Silver Nor Gold,"1, 2, 4","225 | ""Nor Silver Nor Gold"" (229) [4]",4,"1, 2, 4",,2,D,229,225,,289,,Nor silver nor gold hath obtained my redemption,,1229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Grace Greater Than Our Sin,"1, 2, 4","208 | ""Grace Greater Than Our Sin"" (230) [4]",4,"1, 2, 4",,3/4,G,230,208,157,241,,Marvelous grace of our loving Lord,,1230,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
O Happy Day,"1, 2, 4","212 | ""O Happy Day"" (231) [4]",4,"1, 2, 4",,2,G,231,212,517,299,,O happy day that fixed my choice,,1231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Look and Live,"1, 2, 4","257 | ""Look and Live"" (232) [4]",4,"1, 2, 4",,2,G,232,257,352,411,,"I've a message from the Lord, hallelujah!",,1232,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Saved!,"1, 2, 4","249 | ""Saved!"" (233) [4]",4,"1, 2, 4",,1C,C,233,249,,530,,Saved! saved! saved! my sins are all forgiv'n,,1233,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,
I Know Whom I Have Believed,"All: 1, 2, 3","139 | ""I Know Whom I Have Believed"" (234) [3]",3,"All: 1, 2, 3",,3/4,Eb,234,139,442,267,,I know not why God's wondrous grace,,1234,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,
My Sins Are Blotted Out,"1, 2, 4","NVB | ""My Sins Are Blotted Out"" (235) [4]",4,"1, 2, 4",,2,Ab,235,,,419,,"My sins are blotted out, I know",,1235,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Once for All!,"All: 1, 2, 3","264 | ""Once for All!"" (236) [3]",3,"All: 1, 2, 3",,2,Eb,236,264,446,425,,"Free from the law, O happy condition",,1236,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
God Saves Old Sinners,"All: 1, 2","NVB | ""God Saves Old Sinners"" (237) [2]",2,"All: 1, 2",,2,F,237,,,,,"The drunk on the street, the rich in the palaces,",,1237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ye Must Be Born Again,"1, 2, 4","253 | ""Ye Must Be Born Again"" (238) [4]",4,"1, 2, 4",,2,Eb,238,253,,474,,A ruler once came to Jesus by night,,1238,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
"Saved, Saved!","All: 1, 2, 3","247 | ""Saved, Saved!"" (239) [3]",3,"All: 1, 2, 3",,1B,Bb,239,247,509,431,,I've found a Friend who is all to me,,1239,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,
I Will Sing of My Redeemer,"1, 2, 4","NVB | ""I Will Sing of My Redeemer"" (240) [4]",4,"1, 2, 4",,2,Ab,240,,42,,,I will sing of my Redeemer,,1240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thank You, Lord","All: 1, 2, 3","NVB | ""Thank You, Lord"" (241) [3]",3,"All: 1, 2, 3",,3/4,G,241,,622,328,,"I thank You, Lord, for saving my soul",,1241,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Christ Receiveth Sinful Men,"1, 2, 4","258 | ""Christ Receiveth Sinful Men"" (242) [4]",4,"1, 2, 4",,3/4,D,242,258,532,181,,Sinners Jesus will receive,,1242,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Wonderful Words of Life,"All: 1, 2, 3","363 | ""Wonderful Words of Life"" (243) [3]",3,"All: 1, 2, 3",,2,G,243,363,295,472,,Sing them over again to me,,1243,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
When I See the Blood,"1, 2, 4","20 | ""When I See the Blood"" (244) [4]",4,"1, 2, 4",,2,C,244,20,256,46,,Christ our Redeemer died on the cross,,1244,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Claim the Blood,"All: 1, 2","NVB | ""I Claim the Blood"" (245) [2]",2,"All: 1, 2",,3/4,Ab,245,,,,,I have a source of strength when I am weak,,1245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There Is a Fountain,"1, 3, 5","19 | ""There Is a Fountain"" (246) [5]",5,"1, 3, 5",,3/4,C,246,19,258,41,,There is a fountain filled with blood,,1246,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saved by the Blood,"1, 2, 4","227 | ""Saved by the Blood"" (247) [4]",4,"1, 2, 4",,1C,Eb,247,227,524,42,,Saved by the blood of the crucified One!,,1247,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
My Sins Are Gone,"1, 2, 4","NVB | ""My Sins Are Gone"" (248) [4]",4,"1, 2, 4",,2,G,248,,,421,,You ask me why I’m happy,,1248,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Nothing But the Blood,"1, 2, 4","30 | ""Nothing But the Blood"" (249) [4]",4,"1, 2, 4",,2,G,249,30,,43,,What can wash away my sin?,?,1249,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under the Blood,"All: 1, 2","NVB | ""Under the Blood"" (250) [2]",2,"All: 1, 2",,2,Eb,250,,,44,,The burden of sin has been lifted,,1250,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cleansing Wave,"1, 2, 4","237 | ""The Cleansing Wave"" (251) [4]",4,"1, 2, 4",,3/4,Eb,251,237,259,329,,O now I see the crimson wave,,1251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
There Is Power in the Blood,"1, 2, 4","23 | ""There Is Power in the Blood"" (252) [4]",4,"1, 2, 4",,2,Bb,252,23,262,50,,Would you be free from your burden of sin?,,1252,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Blood Will Never Lose Its Power,"All: 1, 2","NVB | ""The Blood Will Never Lose Its Power"" (253) [2]",2,"All: 1, 2",,3/4,Ab,253,,,52,,The blood that Jesus shed for me,,1253,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tis So Sweet to Trust in Jesus,"1, 2, 4","127 | ""Tis So Sweet to Trust in Jesus"" (254) [4]",4,"1, 2, 4",,3/4,Ab,254,127,410,542,,‘Tis so sweet to trust in Jesus,,1254,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,
It’s Still the Blood,"All: 1, 2, 3","NVB | ""It’s Still the Blood"" (255) [3]",3,"All: 1, 2, 3",,3/4,F,255,,,45,,Once I wandered in sin's black night,,1255,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Are You Washed in the Blood?,"1, 2, 4","22 | ""Are You Washed in the Blood?"" (256) [4]",4,"1, 2, 4",,2,Ab,256,22,350,40,,Have you been to Jesus for the cleansing pow'r?,,1256,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In the Service of the King,"1, 2, 4","384 | ""In the Service of the King"" (257) [4]",4,"1, 2, 4",,2,Bb,257,384,,397,,I am happy in the service of the King,,1257,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,
Hiding in Thee,"All: 1, 2, 3","91 | ""Hiding in Thee"" (258) [3]",3,"All: 1, 2, 3",,3/4,F,258,91,462,51,,O safe to the Rock that is higher than I,,1258,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
I’m Standing on the Solid Rock,"All: 1, 2, 3","NVB | ""I’m Standing on the Solid Rock"" (259) [3]",3,"All: 1, 2, 3",,2,F,259,,,20,,"Through my disappointments, strife and discontent",,1259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My God Is Real,"All: 1, 2, 3","NVB | ""My God Is Real"" (260) [3]",3,"All: 1, 2, 3",,3/4,G,260,,,36,,There are some things I may not know,,1260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trusting Jesus,"1, 2, 4","149 | ""Trusting Jesus"" (261) [4]",4,"1, 2, 4",,2,G,261,149,405,338,,Simply trusting ev'ry day,,1261,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,
"Yes, I Know!","All: 1, 2, 3","267 | ""Yes, I Know!"" (262) [3]",3,"All: 1, 2, 3",,2,Ab,262,267,,,,"Come, ye sinners, lost and hopeless",,1262,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
We Have an Anchor,"1, 2, 4","140 | ""We Have an Anchor"" (263) [4]",4,"1, 2, 4",,2,F,263,140,,461,,Will your anchor hold in the storms of life,,1263,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
The Solid Rock,"1, 2, 4","125 | ""The Solid Rock"" (264) [4]",4,"1, 2, 4",,2,G,264,125,411,477,,My hope is built on nothing less,,1264,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
My Anchor Holds,"1, 2, 4","134 | ""My Anchor Holds"" (265) [4]",4,"1, 2, 4",,1B,C,265,134,,248,,Though the angry surges roll,,1265,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Jesus Never Fails,"All: 1, 2, 3","101 | ""Jesus Never Fails"" (266) [3]",3,"All: 1, 2, 3",,3/4,Ab,266,101,,182,,Earthly friends may prove untrue,,1266,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,
I Stand Redeemed,"All: 1, 2","NVB | ""I Stand Redeemed"" (267) [2]",2,"All: 1, 2",,3/4,Bb,267,,,,,"When I think of all my faults and all my failures,",,1267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Every Hour and Every Day,"All: 1, 2","NVB | ""Every Hour and Every Day"" (268) [2]",2,"All: 1, 2",,3/4,F,268,,,,,Once in the stillness of the late midnight hour.,,1268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Just Keep Trusting My Lord,Chorus 2x,"NVB | ""I Just Keep Trusting My Lord"" (269) [C]",C,Chorus 2x,,,G,269,,637,520,,I just keep trusting my Lord,,1269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
He Hideth My Soul,"1, 2, 4","102 | ""He Hideth My Soul"" (270) [4]",4,"1, 2, 4",,3/4,D,270,102,443,228,,A wonderful Saviour is Jesus my Lord,,1270,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,
I Belong to the King,"All: 1, 2, 3","NVB | ""I Belong to the King"" (271) [3]",3,"All: 1, 2, 3",,3/4,G,271,,456,266,,"I belong to the King, I’m a child of His love",,1271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Child of the King,"All: 1, 2, 3","221 | ""A Child of the King"" (272) [3]",3,"All: 1, 2, 3",,2,Eb,272,221,450,484,,My Father is rich in houses and lands,,1272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Never Alone!,"All: 1, 2","132 | ""Never Alone!"" (273) [2]",2,"All: 1, 2",,2,Bb,273,132,,292,,I've seen the lightning flashing,,1273,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,
Standing Somewhere in the Shadows,"1, 2, 4","NVB | ""Standing Somewhere in the Shadows"" (274) [4]",4,"1, 2, 4",,3/4,Ab,274,,,332,,Standing somewhere in the shadows you’ll find Jesus,,1274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hold to God’s Unchanging Hand,"1, 2, 4","NVB | ""Hold to God’s Unchanging Hand"" (275) [4]",4,"1, 2, 4",,3/4,G,275,,,225,,Time is filled with swift transition,,1275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Where No One Stands Alone,"All: 1, 2","NVB | ""Where No One Stands Alone"" (276) [2]",2,"All: 1, 2",,3/4,C,276,,,,,Once I stood in the dark,,1276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trust and Obey,"1, 3, 5","325 | ""Trust and Obey"" (277) [5]",5,"1, 3, 5",,3/4,F,277,325,418,337,,When we walk with the Lord,,1277,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,
The Haven of Rest,"1, 3, 5","138 | ""The Haven of Rest"" (278) [5]",5,"1, 3, 5",,3/4,Ab,278,138,,378,,My soul in sad exile was out on life's sea,,1278,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Through It All,"All: 1, 2, 3","NVB | ""Through It All"" (279) [3]",3,"All: 1, 2, 3",,3/4,Eb,279,,,,,I’ve had many tears and sorrows,,1279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moment by Moment,"1, 2, 4","222 | ""Moment by Moment"" (280) [4]",4,"1, 2, 4",,3/4,F,280,222,419,415,,Dying with Jesus by death reckoned mine,,1280,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,
"Yesterday, Today, Forever","1, 2, 4","130 | ""Yesterday, Today, Forever"" (281) [4]",4,"1, 2, 4",,2,Bb,281,130,,358,,O how sweet the glorious message,,1281,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
His Strength Is Perfect,"All: 1, 2","NVB | ""His Strength Is Perfect"" (282) [2]",2,"All: 1, 2",,3/4,F,282,,,,,I can do all things through Christ,,1282,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I’ve Got a Reservation,"All: 1, 2","NVB | ""I’ve Got a Reservation"" (283) [2]",2,"All: 1, 2",,2,Eb,283,,,,,"There is a land that I have been told,",,1283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Shelter in the Time of Storm,"1, 2, 4","146 | ""A Shelter in the Time of Storm"" (284) [4]",4,"1, 2, 4",,1C,F,284,146,99,491,,"The Lord's our Rock, in Him we hide",,1284,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
"Jesus, I Come","1, 2, 4","272 | ""Jesus, I Come"" (285) [4]",4,"1, 2, 4",,,A,285,272,334,159,,"Out of my bondage, sorrow and night",,1285,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Just as I Am,"1, 3, 5","270 | ""Just as I Am"" (286) [5]",5,"1, 3, 5",,,Ab,286,270,319,167,,"Just as I am, without one plea",,1286,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
I Surrender All,"1, 2, 4","308 | ""I Surrender All"" (287) [4]",4,"1, 2, 4",,,D,287,308,390,153,,All to Jesus I surrender,,1287,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,
Softly and Tenderly,"1, 2, 4","280 | ""Softly and Tenderly"" (288) [4]",4,"1, 2, 4",,,Ab,288,280,325,161,,Softly and tenderly Jesus is calling,,1288,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lord, I'm Coming Home","1, 2, 4","271 | ""Lord, I'm Coming Home"" (289) [4]",4,"1, 2, 4",,,Ab,289,271,335,162,,I've wandered far away from God,,1289,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Room at the Cross for You,"All: 1, 2, 3","9 | ""Room at the Cross for You"" (290) [3]",3,"All: 1, 2, 3",,,G,290,9,,164,,The cross upon which Jesus died,,1290,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Only Trust Him,"1, 2, 4","277 | ""Only Trust Him"" (291) [4]",4,"1, 2, 4",,,G,291,277,328,163,,"Come, ev'ry soul by sin oppressed",,1291,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Turn Your Eyes Upon Jesus,"All: 1, 2, 3","261 | ""Turn Your Eyes Upon Jesus"" (292) [3]",3,"All: 1, 2, 3",,3/4,F,292,261,639,160,,"O soul, are you weary and troubled?",,1292,,,,,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,
Jesus Paid It All,"1, 2, 4","3 | ""Jesus Paid It All"" (293) [4]",4,"1, 2, 4",,3/4,Eb,293,3,355,157,,I hear the Saviour say,,1293,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Why Not Now?,"1, 2, 4","282 | ""Why Not Now?"" (294) [4]",4,"1, 2, 4",,,D,294,282,,353,,While we pray and while we plead,,1294,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Almost Persuaded,"All: 1, 2, 3","275 | ""Almost Persuaded"" (295) [3]",3,"All: 1, 2, 3",,,G,295,275,322,544,,"""Almost persuaded,"" now to believe",,1295,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Is Your All on the Altar?,"1, 2, 4","293 | ""Is Your All on the Altar?"" (296) [4]",4,"1, 2, 4",,,F,296,293,389,156,,"You have longed for sweet peace, and for faith to increase",,1296,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,
"Pass Me Not, O Gentle Saviour","1, 2, 4","281 | ""Pass Me Not, O Gentle Saviour"" (297) [4]",4,"1, 2, 4",,,Ab,297,281,320,500,,"Pass me not, O gentle Saviour",,1297,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Jesus Is Calling,"1, 2, 4","278 | ""Jesus Is Calling"" (298) [4]",4,"1, 2, 4",,,C,298,278,327,154,,Jesus is tenderly calling thee home,,1298,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
