Name,OOS,,Total Verses,Verses to Sing,Familiarity,Service Index,Key,NVB,SSH,MAJ,NVR,Date of Most Recent Use,First Line,Notes,ID,Blood,Christmas,Cross,Easter,Grace,Heaven,Holy Spirit,Invitation,Missions,Patriotic,Prayer,Salvation,Second Coming,Bible,Calvary,Great Hymns,Service,Thanksgiving,Assurance,Christian Warfare,Comfort & Guidance,Consecration,Consolation,Faith & Trust,Joy & Singing,Love,Praise,Resurrection,Soul Winning & Service,Testimony,Lyrics,Log,Words,Music
He Loves Me Like I Was His Only Child,"All: 1, 2","NVB | ""He Loves Me Like I Was His Only Child"" (11) [2]",2,"All: 1, 2",,3/4,F,11,,,,,I’m just a sinner saved by grace,,1011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,
Rock of Ages,"All: 1, 2, 3","129 | ""Rock of Ages"" (12) [3]",3,"All: 1, 2, 3",,3/4,Bb,12,129,451,185,,"Rock of Ages, cleft for me",,1012,,,1,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,Augustus M. Toplady,
"Guide Me, O Thou Great","All: 1, 2, 3","NVB | ""Guide Me, O Thou Great"" (13) [3]",3,"All: 1, 2, 3",,1A,G,13,,83,239,,"Guide me, O Thou great Jehovah",,1013,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,Williams Williams,
"Immortal, Invisible, God Only Wise","1, 2, 4","NVB | ""Immortal, Invisible, God Only Wise"" (14) [4]",4,"1, 2, 4",,2,Ab,14,,63,,,"Immortal, invisible, God only wise",,1014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walter Chalmers Smith,
Stepping in the Light,"1, 2, 4","294 | ""Stepping in the Light"" (15) [4]",4,"1, 2, 4",,3/4,Dd,15,294,,439,,Trying to walk in the steps of the Saviour,,1015,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,Eliza E. Hewitt,
My Faith Looks Up to Thee,"1, 2, 4","303 | ""My Faith Looks Up to Thee"" (16) [4]",4,"1, 2, 4",,3/4,Eb,16,303,407,104,,My faith looks up to Thee,,1016,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,Ray Palmer,
Faith of Our Fathers,"1, 2, 4","407 | ""Faith of Our Fathers"" (17) [4]",4,"1, 2, 4",,2,Ab,17,407,417,165,,Faith of our fathers! living still,,1017,1,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,Frederick W. Faber,
God of Our Fathers,"1, 2, 4","NVB | ""God of Our Fathers"" (18) [4]",4,"1, 2, 4",,2,Eb,18,,601,175,,"God of our fathers, whose almighty hand",,1018,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,Daniel C. Roberts,
Like a River Glorious,"All: 1, 2, 3","121 | ""Like a River Glorious"" (19) [3]",3,"All: 1, 2, 3",,1A,F,19,121,483,209,,Like a river glorious,,1019,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,,,,,,,Frances R. Havergal,
Majestic Sweetness,"1, 2, 4","16 | ""Majestic Sweetness"" (20) [4]",4,"1, 2, 4",,3/4,Ab,20,16,,382,,Majestic sweetness sits enthroned,,1020,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,Samuel Stennett,
